State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/6/1905,R_&_R_ROAD_LIMOSERVICE_INC,13,1,5002,Bronx,11,6,7,1905
7/6/1905,RUMBA_EXPRESS_INC.,2,2,5005,Dix Hills,10,6,7,1905
7/6/1905,RUSH-HENRIETTA_CENTRAL_SCHOOL,233,6,5006,Henrietta,4,6,7,1905
7/6/1905,R.V._AMBULETTE_INC.,26,5,5007,Yonkers,8,6,7,1905
7/6/1905,RW_EXPRESS_L.L.C.,200,29,5008,New York,11,6,7,1905
7/6/1905,RYE_AMBULETTE,17,2,5009,Harrison,8,6,7,1905
7/6/1905,SABE_AMB-DBA-MOBILITY_TRANS,87,5,5011,N Bellmore,11,6,7,1905
7/6/1905,SACRED_HEART_HIGH_SCHOOL,4,1,5014,Yonkers,8,6,7,1905
7/6/1905,SAFA_AMBULETTE_LLC,6,1,5015,Brooklyn,11,6,7,1905
7/6/1905,"SAFE_COACH_BUS,_INC",104,6,5016,Brooklyn,11,6,7,1905
7/6/1905,SAFE_COACH_INC.,93,3,5017,Brooklyn,11,6,7,1905
7/6/1905,SALAMANCA_CITY_SCHOOLS,52,1,5022,Salamanca,5,6,7,1905
7/6/1905,SALEM_CENTRAL_SCHOOL,34,3,5023,Salem,1,6,7,1905
7/6/1905,SALMA_TRANSPORTATION_LLC.,22,1,5025,"New Hyde Park,",11,6,7,1905
7/6/1905,SALMON_RIVER_CENTRAL_SCHOOL,64,5,5026,Ft. Covington,3,6,7,1905
7/6/1905,SALVATION_ARMY_HEMPSTEAD_DAYCARE_CT,2,2,5028,Hempstead,10,6,7,1905
7/6/1905,SAMUEL_FIELD_YM-YWHA,18,4,5033,Little Neck,10,6,7,1905
7/6/1905,SANDRA_TRANSPORTATION,5,1,5034,Hicksville,11,6,7,1905
7/6/1905,SARANAC_CENTRAL_SCHOOL,85,2,5039,Saranac,1,6,7,1905
7/6/1905,SARANAC_LAKE_CENTRAL_SCHOOL,50,4,5040,Saranac Lake,1,6,7,1905
7/6/1905,SARATOGA_CENTRAL_CATHOLIC,6,1,5042,Saratoga Springs,1,6,7,1905
7/6/1905,SARATOGA_COUNTY_ARC,11,2,5043,Ballston Spa,1,6,7,1905
7/6/1905,SARATOGA_SPRINGS_CITY_SCHOOL,206,3,5044,Saratoga Springs,1,6,7,1905
7/6/1905,SATCO_AMBULETTE_INC.,17,4,5046,Yonkers,8,6,7,1905
7/6/1905,SAUQUOIT_VALLEY_CENTRAL_SCHOOL,54,3,5048,Sauquoit,2,6,7,1905
7/6/1905,SBM_AND_AFFILIATES_INC,12,1,5049,Brooklyn,11,6,7,1905
7/6/1905,SCARLET_GIRL_VAN_LINES_INC,6,1,5050,Rosedale,11,6,7,1905
7/6/1905,SCARSDALE_UNION_FREE_SCHOOL_DI,173,2,5052,Scarsdale,8,6,7,1905
7/6/1905,SCHALMONT_CENTRAL_SCHOOL,108,8,5054,Schenectady,1,6,7,1905
7/6/1905,SCHEN._CO._ACTION_PROG._HEADSTART,11,1,5056,Schenectady,1,6,7,1905
7/6/1905,SCHENECTADY_ARC_(RIDGE_SERVICE),38,1,5057,Schenectady,1,6,7,1905
7/6/1905,SCHODACK_CENT_SCHOOL,45,1,5060,Castleton,1,6,7,1905
7/6/1905,SCHOHARIE_CENTRAL_SCHOOL,64,2,5061,Schoharie,1,6,7,1905
7/6/1905,SCHOHARIE_CO._SR._CITIZENS,36,4,5063,Cobleskill,1,6,7,1905
7/6/1905,SCHOLASTIC_BUS_CORP.,27,2,5065,Deposit,2,6,7,1905
7/6/1905,SCHOOL_BUS_BY_SUPERIOR_INC.,171,11,5066,Brooklyn,11,6,7,1905
7/6/1905,SCHROON_LAKE_CENTRAL_SCHOOL,24,1,5067,Schroon Lake,1,6,7,1905
7/6/1905,SCHUYLER_CO._CHAPT._NYSARC,40,2,5068,Watkins Glen,4,6,7,1905
7/6/1905,SCHUYLERVILLE_CENTRAL_SCHOOL,68,2,5069,Schuylerville,1,6,7,1905
7/6/1905,SCIO_CENTRAL_SCHOOL_DISTRICT,20,1,5070,Scio,4,6,7,1905
7/6/1905,SCOTIA_GLENVILLE_CENTRAL_SCHOOL,84,16,5071,Scotia,1,6,7,1905
7/6/1905,SEAWAY_VALLEY_AMBULANCE_SERVIC,14,3,5073,Massena,3,6,7,1905
7/6/1905,SEGURO_TRANSPORT_CORP.,7,1,5074,Middletown,8,6,7,1905
7/6/1905,SELBY_TRANSPORTATION_CORP._(BKLYN),61,1,5075,Brooklyn,11,6,7,1905
7/6/1905,SELBY_TRANSPOTATION_CORP,481,39,5076,Bronx,11,6,7,1905
7/6/1905,SENECA_NATION_HEADSTART,16,3,5079,Irving,5,6,7,1905
7/6/1905,SENECA_TRANSPORTATION,12,4,5081,Irving,5,6,7,1905
7/6/1905,SENIOR_RIDE_TRANSPORTATION_LLC,81,1,5082,Bronx,11,6,7,1905
7/6/1905,SERAFINI_TRANSPORTATION,111,1,5084,Vestal,2,6,7,1905
7/6/1905,SERENITY_LIMOUSINE_LLC,9,3,5085,"Selden, Ny",10,6,7,1905
7/6/1905,SERVICE_BUS_CO._INC.,95,18,5086,Yonkers,8,6,7,1905
7/6/1905,SETH_TRANSPORTATION_II_1NC.,29,2,5087,Brooklyn,11,6,7,1905
7/6/1905,SETTEMBRE_BUS_CO_INC.,22,1,5090,Peekskill,8,6,7,1905
7/6/1905,S_&_F_TRAVEL_INC,12,1,5091,Williamsville,11,6,7,1905
7/6/1905,SHALOM_AMBULETTE_INC.,29,6,5092,White Plains,8,6,7,1905
7/6/1905,SHAMUS_COACH,7,1,5093,Holtsville,10,6,7,1905
7/6/1905,SHANNON_TRANSPORTATION,6,2,5094,Huntington Station,10,6,7,1905
7/6/1905,SHENENDEHOWA_CENTRAL_SCHOOL,451,8,5096,Clifton Park,1,6,7,1905
7/6/1905,SHERBURNE_EARLVILLE_CENTRAL_SC,67,2,5097,Sherburne,2,6,7,1905
7/6/1905,"SHERI_TORAH,_INC",27,3,5098,Monroe,11,6,7,1905
7/6/1905,SHERMAN_CENTRAL_SCHOOL,31,2,5099,Sherman,5,6,7,1905
7/6/1905,SHIVA_AMBULETTE,21,8,5101,Bronx,8,6,7,1905
7/6/1905,SHOREHAM_WADING_RIVER_C.S.D.,8,2,5103,Shoreham,10,6,7,1905
7/6/1905,SHUTTLE_ASSOCIATES_LLC,281,45,5105,Astoria,11,6,7,1905
7/6/1905,SID_JACOBSON_JCC,13,1,5106,East Hills,10,6,7,1905
7/6/1905,SIDNEY_CENTRAL_SCHOOL_DISTRICT,53,4,5107,Sidney,2,6,7,1905
7/6/1905,SIGMA_TRANSPORTATION_INC,46,2,5108,West Hempstead,10,6,7,1905
7/6/1905,SILVER_SHIELD_LIMOUSINE_AND_TRANSPO,4,1,5111,Patterson,8,6,7,1905
7/6/1905,SILVER_STAR_LIMO_COMPANY_LLC,24,2,5112,Yonkers,8,6,7,1905
7/6/1905,SINAI_VAN_SERVICE,298,2,5114,Far Rockaway,11,6,7,1905
7/6/1905,"S_&_J_TOURS_&_BUS,_INC.",16,1,5115,Brooklyn,11,6,7,1905
7/6/1905,SKANEATELES_CENTRAL_SCHOOL,60,8,5116,Skaneateles,3,6,7,1905
7/6/1905,SKYLINER_TRAVEL_AND_TOUR,109,3,5117,Astoria,11,6,7,1905
7/6/1905,"SKYLINE_TOURS,_LLC",25,3,5118,Brooklyn,10,6,7,1905
7/6/1905,SMART_KIDS_TRANSPORTATION,4,1,5120,Elmhurst,11,6,7,1905
7/6/1905,SMARTPICK_INC,129,17,5121,Brooklyn,11,6,7,1905
7/6/1905,SMART_RIDE_LTD.,4,1,5122,Buffalo,5,6,7,1905
7/6/1905,SMITHTOWN_C.S.D.,6,1,5124,Smithtown,10,6,7,1905
7/6/1905,SODUS_CENTRAL_SCHOOL_DISTRICT,54,5,5126,Sodus,3,6,7,1905
7/6/1905,SOLVAY_UNION_FREE_SCHOOL_DISTR,74,6,5129,Solvay,3,6,7,1905
7/6/1905,SOUTHAMPTON_PUBLIC_SCHOOLS,96,3,5131,Southampton,10,6,7,1905
7/6/1905,SOUTHERN_TIER_MEDI-VAN,50,1,5136,Vestal,2,6,7,1905
7/6/1905,SOUTHERN_TIER_STAGES_INC.,33,2,5137,Endicott,2,6,7,1905
7/6/1905,SOUTH_GLENS_FALLS_CENTRAL_SCHO,123,6,5138,South Glens Falls,1,6,7,1905
7/6/1905,SOUTH_HUNTINGTON_U.F.S.D.,157,7,5139,South Huntington,10,6,7,1905
7/6/1905,SOUTH_LEWIS_CENTRAL_SCHOOL,54,2,5142,Turin,2,6,7,1905
7/6/1905,SOUTHOLD_UFSD,19,1,5143,Southold,10,6,7,1905
7/6/1905,SOUTHWESTERN_CENTRAL_SCHOOL,60,2,5146,Jamestown,5,6,7,1905
7/6/1905,SOVEREIGN_TRANSPORTION_INC,33,1,5147,Brooklyn,11,6,7,1905
7/6/1905,SPACKENKILL_UNION_FREE_SCHOOL,35,8,5148,Poughkeepsie,8,6,7,1905
7/6/1905,SPEEDY_MEDICAL_TRANSPORT,21,5,5150,Syracuse,3,6,7,1905
7/6/1905,SPENCERPORT_CENTRAL_SCHOOLS,184,1,5151,Spencerport,4,6,7,1905
7/6/1905,SPENCER_VAN-ETTEN_CENTRAL,55,3,5152,Spencer,2,6,7,1905
7/6/1905,SPRING_AMBULETTE_INC,12,1,5156,Brooklyn,11,6,7,1905
7/6/1905,SPRINGS_U.F.S.D.,30,9,5157,Easthampton,10,6,7,1905
7/6/1905,SPRINGVILLE-GRIFFITH_INSTITUTE,99,2,5158,Springville,5,6,7,1905
7/6/1905,S._R._TRANSPORTATION,2,1,5159,E. Elmhurst,11,6,7,1905
7/6/1905,"S&R_TRANSPORTATION_SERVICES,INC.",4,2,5160,Syracuse,3,6,7,1905
7/6/1905,S&S_LIMOUSINES_INC.,64,2,5161,Leroy,4,6,7,1905
7/6/1905,STAN'S_HUMMER_INC.,3,1,5163,Cedarhurst,10,6,7,1905
7/6/1905,STANSKI_TRANSPORTATION,70,3,5164,Fort Edward,1,6,7,1905
7/6/1905,STAR_CITY_LIMOUSINE_INC,8,1,5166,Deer Park,10,6,7,1905
7/6/1905,STAR_CRUISER_TRANSPORTATION_INC,197,9,5167,Brooklyn,11,6,7,1905
7/6/1905,STARDUST_LIMOUSINE_INC.,6,2,5168,Mahopac,8,6,7,1905
7/6/1905,STARLIGHT_TOURS_INC,5,1,5170,Hauppaugh,11,6,7,1905
7/6/1905,STAR_STRAND_TRANSPORTATION_INC,156,7,5174,Troy,1,6,7,1905
7/6/1905,STATEWIDE_AMBULETTE_SERVICE_INC,50,1,5179,Scarsdale,8,6,7,1905
7/6/1905,ST._CAMILLUS_HEALTH_CARE_FACIL,26,1,5181,Syracuse,3,6,7,1905
