City,Operator Name
W Hempstead,THE_ONLY_WAY_TO_RIDE_INC
Snyder,THE_PARK_SCHOOL_OF_BUFFALO
Laurelton,THERESA_WILSON
Buffalo,THE_SALVATION_ARMY_INC.
Great Neck,THE_SILVERSTIEN_HEBREW_ACADEMY
Lockport,TIMKEY_LIMOUSINE_COMPANY
Owego,TIOGA_OPPORTUNITIES_PROGRAM_INC
Pearl River,T.J._TRANS
Bayport,TLCH_LLC
Ossining,T.L.C_LIMOUSINE_CORP.
Depew,TLC_OF_WNY
Dobbs Ferry,TLC_TRANSPORTATION_LLC
Webster,TODDLERS_WORK_SHOP
Bayshore,TOMMY'S_SIGHTSEEING_TOURS
Staten Island,TOMY_TOURS_OF_NY_CORP
Mt. Tremper,TONCHE_TRANSIT_INC.
Yonkers,TOP_CLASS_LIMOUSINE_LTD.
Kings Park,TOP_OF_THE_WORLD_LIMO_LTD
Far Rockaway,TORAH_ACADEMY_FOR_GIRLS
Brooklyn,TORAH_FOR_SPECIAL_CHILDREN
New York,TOTAL_SIGHTSEEING_LLC
Bronx,TOTS_INC.
Waverly,TOT'S_LEARNING_CENTER
Wyandancha,TOUCH_OF_CLASS_&_COACH_INC.
St. James,TOWN_BUS_LLC
Plainview,TOWNE_BUS_CORP._(PLAINVIEW)
Bayshore,TOWNE_BUS_LLC
East Syracuse,TOWN_OF_DEWITT
Old Forge,TOWN_OF_WEBB_UNION_FREE_SCH._D
Hobart,T.P._OF_NEW_YORK_INC.
Flushing,TRANS_AMERICAN_TOURS
Holbrook,TRANS_AMERICA_TRANSPORT_INC
Jamaica,TRANSEAGLE_TRANSPORTATION_INC.
Brooklyn,TRANS_EXPRESS
Tonawanda,TRANSPO_BUS_SERVICES_LLC
Jamaica,TRAVELPLAN_USA_INC
Albany,TRINITY_INSTITUTION
Hicksville,TRINITY_LUTHERAN_SCHOOL
Grahamsville,TRI_VALLEY_CENTRAL_SCHOOL
Brooklyn,TRUCK_KING_(BABYLON)
Bronx,TRUCK_KING_INTERNATIONAL_BUS_SALES
Bronx,TT_BUS_TRANSPORT_CO_INC
Smithtown,TTOM_INC
Bayshore,"T.T.T.,INC______."
Staten Island,TUMID_B'ESIMCHA_BUSES
Islanda,TUTOR_TIME_CHILD_CARE_LEARNING
Patchogue,TUTOR_TIME-ECONOMIC_OPPORTUNITY_COU
Commack,TUTOR_TIME_LEARNING_CENTER_LLC
New Hyde Park,TUTOR_TIME_-_NEW_HYDE_PARK
Tuxedo Park,TUXEDO_PARK_SCHOOL
Tonawanda,TWIN_CITY_AMBULANCE
Brooklyn,TWO_LIONS_TOURS_INC
Brooklyn,TYA_TRANSPORTATION_INC.
Binghamton,T_&_Z_PARTY_BUS
Kingston,ULSTER-GREENE_COUNTY_NYS_ARC
Hicksville,ULTIMATE_CLASS_TRANSPORTATION_INC
New York,ULTIMATE_TOURS_LLC
Webster,ULTRA_MEDICAL_TRANSPORT_INC
Bronx,U_&_ME__TRANSPORT_INC
Otego,UNATEGO_CENTRAL_SCHOOL
Uniondale,UNIONDALE_UFSD
Union Springs,UNION_SPRINGS_ACADEMY
Union Springs,UNION_SPRINGS_CEN._SCH.
L.I.C,UNITED_AMBULETTE_INC.
Brooklyn,UNITED_BUS_LLC___________HOBOKEN
Staten Island,"UNITED_COACH_LINES,_INC."
East Elmhurst,UNITED_KID'S_TRANSPORTATION
Brooklyn,UNITED_LUBAVITAHER_YESHIVOTH
Brooklyn,"UNITED_TOM_TOM_TRANSPORTATION,_INC."
Ferndale,UNITY_AMBULETTE_CORP.
Troy,UNITY_HOUSE
Bellrose,UNIVERSAL_AMBULETTE_SERVICE
Rochester,UNIVERSITY_OF_ROCHESTER
Queens,UPWARD_MOBILITY_LIMOUSINE
Elmhurst,USAI_KITTEKORNCHAROEN
Brooklyn,"USA_UNITED_BUS_EXPRESS,_INC."
Monroe,UTA_OF_KIRYAS_JOEL_INC.
Brooklyn,V0LGA_TRANSPORTATION_CORP
Valhalla,VALHALLA_UNION_FREE_SCHOOL_DIST.
Brooklyn,VALIANT_A_TRANSPORTATION
South Fallsburgh,VALO_TRANSPORTATION_LTD
Monsey,VANTOUR_1_INC
East Elmhurst,VARGAS_TRANSPORTATION
Syossett,VARIETY_PRE-SCHOOLER'S_WORKSHOP
Elmhurst,VEA_NY_TOURS
Fredonia,VICTORY_BAPTIST_CHURCH
Yonkers,VICTORY_TRANSIT_INC
Cooperstown,VILLAGE_OF_COOPERSTOWN
Spring Valley,VILLAGE_OF_SPRING_VALLEY
Spring Valley,VIP_AMBULETTE_INC
Freeport,VIP_LIMOS_SERVICE_INC.
